source_file,frame_no,timestamp_epoch,tx,rx,bssid,frame_protocols,type_subtype_hex,phase,ap_identity,ssid,rsn_present,akm_suites,pairwise_cipher,pmf_capable,pmf_required,auth_alg,assoc_status_code,has_eapol,eapol_msg_num,eapol_replay_counter
track3_filtered_modified_authorized_only.pcapng,206,1781520236.962464000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,207,1781520237.067070000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,208,1781520237.165083000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,209,1781520237.188592000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,210,1781520237.267207000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,211,1781520237.369861000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,212,1781520237.405636000,c8:3a:35:c2:e0:b7,2e:8c:43:8a:3f:65,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0005,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,213,1781520237.415143000,c8:3a:35:c2:e0:b7,2e:8c:43:8a:3f:65,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0005,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,214,1781520237.472698000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,215,1781520237.573911000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
